"","zipcode","Date","PROPERTY.TYPE","ADDRESS","CITY","ZIP","ZIP.OR.POSTAL.CODE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","LATITUDE","LONGITUDE","Age","Num_Landfill","hospital_bed","School_Rank"
"5705",90047,"11/25/2019","Single Family Residential","2031 W 96th St","Los Angeles","CA",90047,655700,5,2.5,1906,5088,1944,171,33.949274,-118.314574,76,1,0,8
"5706",90047,"7/10/2017","Single Family Residential","1730 W 125th St","Los Angeles","CA",90047,604000,4,2.5,1997,7002,1956,1039,33.9190502,-118.3079066,64,1,0,8
"5707",90047,"9/21/2017","Single Family Residential","1648 W 124th St","Los Angeles","CA",90047,574800,4,2.5,1914,7002,1962,966,33.9199267,-118.3062397,58,1,0,8
"5708",90047,"7/9/2018","Single Family Residential","2107 W 85th St","Los Angeles","CA",90047,619900,4,3,2120,5587,1948,675,33.961165,-118.3159024,72,1,0,8
"5709",90047,"12/8/2017","Single Family Residential","1701 W 68th St","Los Angeles","CA",90047,442600,4,2,1062,4651,1923,888,33.9779979,-118.3069932,97,1,0,8
"5710",90047,"6/26/2018","Single Family Residential","7506 S Hobart","Los Angeles","CA",90047,583400,4,2,1395,5225,1939,688,33.9717517,-118.3076326,81,1,0,8
"5711",90047,"5/9/2018","Single Family Residential","1432 W 80th St","Los Angeles","CA",90047,527600,4,3,1756,6676,1954,736,33.966121,-118.301451,66,1,0,8
"5712",90047,"10/24/2018","Single Family Residential","7514 S Halldale Ave","Los Angeles","CA",90047,610200,4,2,1725,5231,1927,568,33.9715448,-118.3021638,93,1,0,8
"5713",90047,"6/19/2018","Single Family Residential","1906 W 66th St","Los Angeles","CA",90047,676200,5,3,2568,3553,1925,695,33.9789188,-118.3115404,95,1,0,8
"5714",90047,"11/1/2018","Single Family Residential","11552 Ruthelen St","Los Angeles","CA",90047,620500,4,3,1617,5308,1950,560,33.9285453,-118.3122454,70,1,0,8
"5715",90047,"6/6/2017","Single Family Residential","1717 W 121st St","Los Angeles","CA",90047,550100,4,2,1685,7000,1972,1073,33.9233023,-118.3074043,48,1,0,8
"5716",90047,"10/11/2018","Single Family Residential","1633 W 122nd St","Los Angeles","CA",90047,565700,4,2,1802,7000,1957,581,33.9223214,-118.3057145,63,1,0,8
"5717",90047,"3/4/2019","Single Family Residential","1737 W 121st St","Los Angeles","CA",90047,637600,4,3,2252,7001,1961,437,33.9232918,-118.3080913,59,1,0,8
"5718",90047,"12/15/2017","Single Family Residential","11933 Coratina Ln","Los Angeles","CA",90047,583700,4,4,2010,27726,2013,881,33.9247044,-118.3026081,7,1,0,8
"5719",90047,"10/7/2019","Single Family Residential","1737 W 122nd St","Los Angeles","CA",90047,583200,4,2.5,2370,6999,1957,220,33.9223816,-118.3080436,63,1,0,8
"5720",90047,"8/10/2018","Single Family Residential","1439 W 106th St","Los Angeles","CA",90047,406300,4,1,882,5854,1922,643,33.9402589,-118.3017413,98,1,0,8
"5721",90047,"11/9/2018","Single Family Residential","1513 W 105th St","Los Angeles","CA",90047,543800,4,2,1416,5399,1910,552,33.9412063,-118.3029447,110,1,0,8
"5722",90047,"10/30/2017","Single Family Residential","1543 W 70th St","Los Angeles","CA",90047,544700,4,2,1567,4682,1922,927,33.9764168,-118.3039219,98,1,0,8
"5723",90047,"3/6/2019","Single Family Residential","8900 S Hobart Blvd","Los Angeles","CA",90047,627200,4,1.75,2004,6505,1931,435,33.9561874,-118.3075837,89,1,0,8
"5724",90047,"12/4/2018","Single Family Residential","6030 S Van Ness Ave","Los Angeles","CA",90047,517900,4,2,1569,5227,1995,527,33.9847082,-118.3174487,25,1,0,8
"5725",90047,"1/17/2018","Single Family Residential","1931 W 94th St","Los Angeles","CA",90047,547800,4,2,1553,5000,1947,848,33.9514246,-118.3125187,73,1,0,8
"5726",90047,"6/14/2017","Single Family Residential","2046 W 93rd St","Los Angeles","CA",90047,628700,5,3,2139,5100,1941,1065,33.9517304,-118.3150682,79,1,0,8
"5727",90047,"6/19/2019","Single Family Residential","1814 W 67th St","Los Angeles","CA",90047,501300,4,2,1425,3867,1925,330,33.9783205,-118.3095506,95,1,0,8
"5728",90047,"11/27/2017","Single Family Residential","1722 W 109th St","Los Angeles","CA",90047,588300,5,3,2623,5461,1946,899,33.9372126,-118.3076098,74,1,0,8
"5729",90047,"5/3/2019","Single Family Residential","1908 W 78th Pl","Los Angeles","CA",90047,711300,4,2.25,1800,6683,1924,377,33.9679282,-118.31156,96,1,0,8
"5730",90047,"10/17/2018","Single Family Residential","1533 W 121st St","Los Angeles","CA",90047,698100,5,3,2145,7002,1970,575,33.9233354,-118.3035019,50,1,0,8
"5731",90047,"10/5/2018","Single Family Residential","1858 82nd St W","Los Angeles","CA",90047,761600,5,3,2259,8069,1928,587,33.9643942,-118.3109807,92,1,0,8
"5732",90047,"1/30/2018","Single Family Residential","1818 W 81st St","Los Angeles","CA",90047,648800,4,3,2116,6751,1925,835,33.9652627,-118.3097441,95,1,0,8
"5733",90047,"2/5/2019","Single Family Residential","1822 W 79th St","Los Angeles","CA",90047,637100,4,3,1795,6696,1923,464,33.9670305,-118.3098906,97,1,0,8
"5734",90047,"11/20/2019","Single Family Residential","12316 S Halldale Ave","Los Angeles","CA",90047,651700,4,3,2417,7014,1950,176,33.9206683,-118.302061,70,1,0,8
"5735",90047,"1/14/2020","Single Family Residential","7407 S Hobart Blvd","Los Angeles","CA",90047,561400,4,2.75,1967,5200,1929,121,33.9725245,-118.3082263,91,1,0,8
"5736",90047,"8/3/2017","Single Family Residential","10605 Ruthelen St","Los Angeles","CA",90047,664400,4,2,2596,6749,1940,1015,33.9397241,-118.3126014,80,1,0,8
"5737",90047,"5/23/2018","Single Family Residential","1622 W 110th Pl","Los Angeles","CA",90047,553900,4,2,1443,5212,1947,722,33.9343934,-118.3055936,73,1,0,8
"5738",90047,"12/20/2019","Single Family Residential","2034 W 108th St","Los Angeles","CA",90047,655000,4,2,1550,6401,1946,146,33.9380024,-118.3146912,74,1,0,8
"5739",90047,"12/12/2017","Single Family Residential","2032 W 112th St","Los Angeles","CA",90047,636800,4,2,1426,5500,1947,884,33.9317295,-118.314574,73,1,0,8
"5740",90047,"8/8/2019","Single Family Residential","7323 Dalton Ave","Los Angeles","CA",90047,619500,4,2,1665,5401,1929,280,33.973025,-118.3038692,91,1,0,8
"5741",90047,"9/18/2018","Single Family Residential","11120 Ruthelen St","Los Angeles","CA",90047,632900,4,2,1347,6621,1947,604,33.9333235,-118.3121993,73,1,0,8
"5742",90047,"5/25/2017","Single Family Residential","8820 S Gramercy Pl","Los Angeles","CA",90047,583800,4,3,1693,6078,1939,1085,33.9573722,-118.3136288,81,1,0,8
"5743",90047,"12/17/2019","Single Family Residential","8725 Ruthelen St","Los Angeles","CA",90047,675100,4,2,1502,6753,1940,149,33.9583204,-118.3131016,80,1,0,8
"5744",90047,"5/11/2018","Single Family Residential","2144 W 80th St","Los Angeles","CA",90047,658200,4,2,1567,5672,1927,734,33.9661368,-118.3171313,93,1,0,8
"5745",90047,"12/30/2019","Single Family Residential","2000 W 79th St","Los Angeles","CA",90047,796000,5,3.5,2253,5671,1925,136,33.9670261,-118.3135693,95,1,0,8
"5746",90047,"4/25/2018","Single Family Residential","2014 W 79th St","Los Angeles","CA",90047,578800,4,2,1331,5419,1938,750,33.9670708,-118.3139917,82,1,0,8
"5747",90047,"7/14/2017","Single Family Residential","2128 W 83rd St","Los Angeles","CA",90047,637500,4,3,2166,5675,1929,1035,33.963351,-118.316566,91,1,0,8
"5748",90047,"1/27/2020","Single Family Residential","2106 W 84th St","Los Angeles","CA",90047,722300,5,4,2546,5728,1929,108,33.9624866,-118.315903,91,1,0,8
"5749",90047,"4/4/2019","Single Family Residential","2155 Thoreau St","Los Angeles","CA",90047,620800,4,2,1714,5545,1947,406,33.9344735,-118.3172226,73,1,0,8
"5750",90047,"8/15/2019","Single Family Residential","9150 Cimarron St","Los Angeles","CA",90047,726900,4,3.5,1874,6616,1941,273,33.953031,-118.3152571,79,1,0,8
"5751",90047,"5/16/2018","Single Family Residential","1919 W 80th St","Los Angeles","CA",90047,661000,4,2,2000,5720,1926,729,33.9666356,-118.3119253,94,1,0,8
"5752",90047,"3/23/2018","Single Family Residential","1936 W 94th Pl","Los Angeles","CA",90047,510500,4,1.75,1327,5152,1944,783,33.9503068,-118.3127149,76,1,0,8
"5753",90047,"3/14/2019","Single Family Residential","1607 W 79th St","Los Angeles","CA",90047,413900,4,2,1476,5249,1929,427,33.9676473,-118.3049838,91,1,0,8
"5754",90047,"2/7/2020","Single Family Residential","7842 La Salle Ave","Los Angeles","CA",90047,470000,4,2,1450,5406,1929,97,33.9678509,-118.3055037,91,1,0,8
"5755",90047,"8/17/2017","Single Family Residential","1512 W 107th St","Los Angeles","CA",90047,600600,4,2,1956,6527,1907,1001,33.9388697,-118.3029744,113,1,0,8
"5756",90047,"6/14/2017","Single Family Residential","2023 W 73rd St","Los Angeles","CA",90047,578100,4,2,2023,6700,1927,1065,33.973936,-118.314208,93,1,0,8
"5757",90047,"5/26/2017","Single Family Residential","11107 Haas Ave","Los Angeles","CA",90047,673600,5,3,2121,5785,1947,1084,33.933194,-118.31697,73,1,0,8
"5758",90047,"6/2/2017","Single Family Residential","2058 W 78th St","Los Angeles","CA",90047,690400,5,3,2619,6956,1930,1077,33.9688383,-118.3153731,90,1,0,8
"5759",90047,"4/17/2019","Single Family Residential","1531 W 59th St","Los Angeles","CA",90047,530900,4,2,1446,3361,1924,393,33.9877624,-118.3035459,96,1,0,8
"5760",90047,"8/1/2018","Single Family Residential","7501 HOBART Blvd S","Los Angeles","CA",90047,489600,4,3,986,5199,1927,652,33.9718379,-118.3080893,93,1,0,8
"5761",90047,"2/12/2018","Single Family Residential","11228 La Salle Ave","Los Angeles","CA",90047,621800,4,2,1332,5454,1947,822,33.9319992,-118.3053035,73,1,0,8
"5762",90047,"7/12/2017","Single Family Residential","1530 W 59th St","Los Angeles","CA",90047,488800,4,3,1440,3361,1981,1037,33.987315,-118.303541,39,1,0,8
"5763",90047,"6/25/2019","Single Family Residential","1728 W 59th Pl","Los Angeles","CA",90047,534200,4,2,1200,3352,1977,324,33.9864462,-118.3078411,43,1,0,8
"5764",90047,"11/21/2019","Single Family Residential","1414 Turin Ln","Los Angeles","CA",90047,760000,4,3,1802,2800,2019,175,33.9519253,-118.3082034,1,1,0,8
"5765",90047,"1/22/2020","Single Family Residential","9423 S Hobart Blvd","Los Angeles","CA",90047,767900,4,2,1775,6500,1946,113,33.9503716,-118.3080893,74,1,0,8
"5766",90047,"5/8/2020","Single Family Residential","8920 S Harvard","Los Angeles","CA",90047,515000,4,3,2767,6750,1925,6,33.9556485,-118.3065337,95,1,0,8
"5767",90047,"7/19/2019","Single Family Residential","2018 W 98th St","Los Angeles","CA",90047,720400,5,3,3132,5160,1951,300,33.9467875,-118.3141858,69,1,0,8
"5768",90047,"9/10/2019","Single Family Residential","2116 W 95th St","Los Angeles","CA",90047,648200,5,2,1453,5100,1944,247,33.9496247,-118.316218,76,1,0,8
