"ZIP","Date","PROPERTY.TYPE","ADDRESS","CITY","STATE","PRICE","BEDS","BATHS","SQUARE.FEET","LOT.SIZE","LATITUDE","LONGITUDE","Age","ORIGINAL_PRC","numCrimes","LONG_LAT","SQ_LOT","knn14Pred","Error","Pct_Error","AbsPct_Err","UpperCI","LowerCI"
90003,"2020-04-01","Single Family Residential","110 E 77th St","Los Angeles","CA",435000,2,1,924,3600,33.9694147,-118.2733667,93,435000,0,-4017.67704139747,3326400,357628.571428571,-77371.4285714286,-0.177865353037767,0.177865353037767,452846.755642654,319385.014898817
90003,"2020-03-13","Single Family Residential","208 W 106th St","Los Angeles","CA",225000,2,1,816,4101,33.9399228,-118.2766503,95,225000,0,-4014.3003802246,3346416,375342.857142857,150342.857142857,0.668190476190476,0.668190476190476,475277.448979592,335204.996462871
90003,"2020-04-01","Single Family Residential","6921 S Main St","Los Angeles","CA",405000,3,2,1248,2500,33.9767268,-118.2742003,15,405000,0,-4018.57019108158,3120000,455635.714285714,50635.7142857143,0.125026455026455,0.125026455026455,576948.184383025,406911.614511876
90003,"2020-03-11","Single Family Residential","440 E 92nd St","Los Angeles","CA",465000,3,2,1229,4826,33.9526568,-118.2659058,97,465000,0,-4015.44171076853,5931154,415864.285714286,-49135.7142857143,-0.105668202764977,0.105668202764977,526587.659987836,371393.204290645
90003,"2020-04-23","Single Family Residential","354 E 90th","Los Angeles","CA",475000,3,2,1311,5026,33.9544523,-118.2676227,91,475000,0,-4015.71235360155,6589086,428435.714285714,-46564.2857142857,-0.09803007518797,0.09803007518797,542506.216549534,382620.287981264
90003,"2020-04-28","Single Family Residential","231 E 76th Pl","Los Angeles","CA",352250,3,1,1310,5101,33.970703,-118.2707289,101,352250,0,-4017.73980505542,6682310,405528.571428571,53278.5714285714,0.151252154516881,0.151252154516881,513500.073996486,362162.755370005
90003,"2020-02-24","Single Family Residential","8913 Mettler Ave","Los Angeles","CA",502000,3,1.75,1253,4400,33.9551319,-118.2666635,95,502000,0,-4015.76015851542,5513200,408828.571428571,-93171.4285714286,-0.185600455321571,0.185600455321571,517678.695093932,365109.864838793
90003,"2020-04-01","Single Family Residential","436 W 75th St","Los Angeles","CA",377000,3,2,1200,1837,33.9715926,-118.2818223,98,377000,0,-4018.2218791612,2204400,472535.714285714,95535.7142857143,0.253410382720727,0.253410382720727,598347.789397216,422004.38724597
90003,"2020-05-08","Single Family Residential","404 E 60th St","Los Angeles","CA",579000,3,1,1204,5401,33.9849454,-118.2672573,112,579000,0,-4019.30628194825,6502804,395685.714285714,-183314.285714286,-0.316604983962497,0.316604983962497,501036.56777943,353372.459162236
90003,"2020-04-17","Single Family Residential","239 W 61st St","Los Angeles","CA",450000,3,2,1544,5119,33.98438,-118.2773977,97,450000,0,-4019.58402884793,7903736,478164.285714286,28164.2857142857,0.0625873015873017,0.0625873015873017,605474.96131234,427031.058807452
90003,"2020-04-23","Single Family Residential","327 E 92nd St","Los Angeles","CA",447000,3,2,863,4826,33.953103,-118.2685363,96,447000,0,-4015.58379465314,4164838,411935.714285714,-35064.2857142857,-0.0784435922019815,0.0784435922019815,521613.111062306,367884.740637326
90003,"2020-04-23","Single Family Residential","230 E 82nd St","Los Angeles","CA",510000,3,2,1176,5022,33.965158,-118.2706375,97,510000,0,-4017.08088944823,5905872,439392.857142857,-70607.1428571428,-0.13844537815126,0.13844537815126,556380.685734559,392405.71206161
90003,"2020-02-05","Single Family Residential","10105 S Main St","Los Angeles","CA",525001,3,2.5,1401,3382,33.9444589,-118.2741661,26,525001,0,-4014.75257011322,4738182,421621.428571429,-103379.571428571,-0.196913094315194,0.196913094315194,533877.635322341,376534.698298962
90003,"2020-02-04","Single Family Residential","122 W 94th St","Los Angeles","CA",5e+05,3,2,1776,5300,33.9507885,-118.2749312,95,500000,0,-4015.52717402325,9412800,488821.428571429,-11178.5714285714,-0.0223571428571429,0.0223571428571429,618969.555852142,436548.563845181
90003,"2020-03-17","Single Family Residential","116 W Colden Ave","Los Angeles","CA",385000,3,1,820,5401,33.9490026,-118.2747028,98,385000,0,-4015.30819287143,4428820,385321.428571429,321.42857142858,0.000834879406307998,0.000834879406307998,487912.803250439,344116.4941423
90003,"2020-02-14","Single Family Residential","320 W 83rd St","Los Angeles","CA",445000,3,2.5,1308,4596,33.9639218,-118.2791334,97,445000,0,-4017.22323736937,6011568,482442.857142857,37442.8571428572,0.0841412520064206,0.0841412520064206,610892.697323963,430852.094677157
90003,"2020-03-17","Single Family Residential","142 E 62nd St","Los Angeles","CA",3e+05,4,2,1689,5120,33.983121,-118.2723276,85,300000,0,-4019.26281978244,8647680,528421.428571429,228421.428571429,0.761404761904762,0.761404761904762,669113.009021489,471913.877470631
90003,"2020-03-23","Single Family Residential","9318 S San Pedro St","Los Angeles","CA",5e+05,4,3,1880,2625,33.9513774,-118.2692735,5,500000,0,-4015.40473942232,4935000,511542.857142857,11542.8571428572,0.0230857142857144,0.0230857142857144,647740.537910528,456840.24181101
90004,"2020-02-20","Single Family Residential","326 N Plymouth","Los Angeles","CA",2310000,3,4,2230,6742,34.0770353,-118.320335,99,2310000,170,-4032.00623250283,15034660,1851121.42857143,-458878.571428571,-0.198648732220161,0.198648732220161,2796620.78247945,1354671.20468894
90004,"2020-02-13","Single Family Residential","202 N Serrano Ave","Los Angeles","CA",1050000,3,1.75,1554,7659,34.0753894,-118.3064503,102,1050000,170,-4031.33836250425,11902086,1290692.85714286,240692.857142857,0.229231292517007,0.229231292517007,1949941.48539955,944543.356628134
90004,"2020-04-13","Single Family Residential","552 N Bronson Ave","Los Angeles","CA",1372000,2,1.5,1173,4849,34.0804776,-118.3176581,88,1372000,170,-4032.32229656151,5687877,1390114.28571429,18114.2857142857,0.0132028321532693,0.0132028321532693,2100144.50778108,1017301.06140966
90004,"2020-02-26","Single Family Residential","522 N Wilton Pl","Los Angeles","CA",950000,3,2,1300,5376,34.080927,-118.3132497,105,950000,170,-4032.22522615847,6988800,1291878.57142857,341878.571428571,0.359872180451128,0.359872180451128,1951732.82829166,945411.075501166
90004,"2020-02-13","Single Family Residential","672 N Gramercy Pl","Los Angeles","CA",930000,2,2.5,1520,1103,34.0826737,-118.3123698,6,930000,170,-4032.40189456713,1676560,960664.285714286,30664.2857142857,0.0329723502304147,0.0329723502304147,1451343.85294632,703024.785486132
90004,"2020-03-27","Single Family Residential","338 N Irving","Los Angeles","CA",1310000,2,1.5,1264,4997,34.0773732,-118.3185067,99,1310000,170,-4031.9839092826,6316208,1413500,103500,0.0790076335877863,0.0790076335877863,2135474.96940024,1034414.98665247
